Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share
topaz diamond ring,USD,720,22%,0%,High,100,1.23,3.60,1%
platinum diamond ring for men,USD,720,48%,81%,High,84,1.32,3.90,39%
small diamond wedding band,USD,720,-18%,-18%,High,100,0.99,3.99,4%
diamond wedding earrings,USD,720,-28%,0%,High,100,1.14,4.90,2%
14k gold wedding ring sets,USD,720,0%,0%,High,100,0.72,3.05,72%
citrine wedding band,USD,720,0%,0%,High,100,1.14,3.92,2%
women moissanite,USD,720,-18%,929%,High,100,0.59,3.00,< 1%
tear drop wedding ring set,USD,720,0%,-33%,High,100,0.77,2.99,2%
starburst diamond ring,USD,720,0%,50%,High,100,0.92,4.99,1%
thick gold band engagement ring,USD,720,-18%,22%,High,100,1.50,3.60,2%
mixed metal wedding bands,USD,720,-18%,0%,High,100,1.36,3.56,4%
wedding band prices,USD,720,0%,0%,High,99,0.87,3.62,2%
1 carat emerald cut diamond,USD,720,0%,0%,High,100,1.42,4.06,1%
white wedding band,USD,720,22%,0%,High,100,1.04,3.71,2%
5 carat round diamond ring,USD,720,-18%,0%,High,100,1.89,4.67,14%
men's and women's wedding bands match,USD,720,0%,-18%,High,100,0.82,3.14,24%
mens yellow gold diamond wedding bands,USD,720,0%,22%,High,93,1.19,4.50,50%
pave set diamonds,USD,720,0%,-32%,High,100,1.76,7.00,< 1%
simple wedding ring sets,USD,720,0%,0%,High,100,0.81,2.98,5%
gemstones online,USD,720,22%,22%,Medium,52,1.07,3.96,
rose gold and white gold engagement rings,USD,720,0%,0%,High,86,1.53,4.97,2%
flat wedding ring,USD,720,-18%,22%,High,100,1.42,4.12,8%
custom couple rings,USD,720,0%,22%,High,97,1.00,3.32,< 1%
mens ceramic wedding ring,USD,720,22%,22%,High,100,1.22,3.58,< 1%
square cut ring,USD,720,0%,22%,High,100,1.04,3.20,< 1%
mens black tungsten ring,USD,720,23%,-41%,High,100,1.42,3.85,< 1%
mens anniversary rings,USD,720,-33%,-33%,High,100,0.77,3.14,11%
moss agate wedding ring set,USD,720,-45%,-19%,High,100,1.18,4.48,
moss agate wedding ring sets,USD,720,-45%,-19%,High,100,1.18,4.48,
0.5 ct diamond,USD,720,14%,39%,High,87,1.70,5.67,< 1%
15 carat diamond,USD,720,0%,22%,High,90,1.70,5.71,2%
wedding bands pair,USD,720,-18%,0%,High,100,1.41,4.52,16%
silver diamond wedding band,USD,720,-18%,22%,High,100,0.89,3.25,6%
platinum wedding band sets,USD,720,22%,0%,High,100,1.27,4.77,40%
metal wedding bands,USD,720,22%,49%,High,99,0.85,3.39,< 1%
3 carat ring cost,USD,720,0%,49%,High,100,0.90,2.65,3%
gold wedding rings for couples,USD,720,-18%,-18%,High,100,0.80,3.00,42%
giant diamond ring,USD,720,-18%,0%,High,100,1.22,4.16,2%
meghan markle's engagement ring,USD,720,-84%,50%,High,97,,,
french cut diamond,USD,720,0%,0%,High,100,1.63,7.00,< 1%
hello kitty engagement ring,USD,720,-33%,-18%,High,94,0.99,3.23,< 1%
oval shaped wedding ring,USD,720,-18%,22%,High,100,1.18,3.60,1%
silver diamond wedding ring,USD,720,-18%,22%,High,100,0.89,3.25,6%
topaz wedding band,USD,720,0%,-18%,High,100,1.04,3.45,1%
turquoise wedding ring set,USD,720,-18%,50%,High,100,0.59,2.25,< 1%
3 stone wedding ring set,USD,720,-18%,-18%,High,100,1.35,3.90,20%
round brilliant diamond,USD,720,123%,644%,Low,33,1.67,6.42,< 1%
women black diamond engagement ring,USD,720,-18%,50%,High,100,1.91,5.19,16%
western wedding ring sets,USD,720,-18%,-18%,High,96,0.50,2.09,1%
mens lord of the rings wedding band,USD,720,-41%,23%,High,100,0.95,4.24,
vintage cluster ring,USD,720,-18%,22%,High,100,0.32,2.46,3%
hinged wedding ring,USD,720,-18%,0%,High,100,0.99,4.39,
crown wedding ring,USD,720,-18%,-18%,High,100,2.00,5.63,1%
custom wedding sets,USD,720,23%,23%,High,92,1.63,4.96,1%
emerald cut ring with wedding band,USD,720,-12%,22%,High,100,0.98,3.44,1%
black wedding ring set for her,USD,720,0%,-34%,High,100,0.69,2.39,8%
green lantern wedding ring,USD,720,-70%,0%,High,94,0.89,4.42,< 1%
3 4 ct diamond ring,USD,720,0%,0%,High,100,1.10,4.16,10%
huge wedding rings,USD,720,-18%,0%,High,100,1.28,3.87,2%
opal ring band,USD,720,-18%,-18%,High,100,0.57,2.31,< 1%
tungsten carbide gold ring,USD,720,0%,0%,High,100,0.48,2.00,< 1%
wedding rings under 100,USD,720,0%,0%,High,100,0.55,2.34,< 1%
gold hammered mens wedding band,USD,720,-18%,-18%,High,100,1.68,4.32,69%
unique mens gold wedding bands,USD,720,-18%,-18%,High,100,1.19,3.50,5%
3 ct round diamond,USD,720,0%,22%,High,100,1.51,4.23,2%
handmade wedding bands,USD,720,49%,0%,High,93,0.86,3.25,5%
3 carat elongated cushion cut,USD,720,-18%,-18%,High,100,2.21,5.81,
diamond wrap,USD,720,0%,-18%,High,81,0.21,2.18,1%
men's 14k gold rings with diamonds,USD,720,0%,-18%,High,100,0.48,2.31,100%
fairy wedding ring,USD,720,-19%,-45%,High,100,1.02,2.69,< 1%
black ring band,USD,720,-18%,-33%,High,100,0.59,2.97,< 1%
kourtney kardashian ring,USD,720,120%,81%,Low,29,,,
1930s engagement rings,USD,720,-18%,0%,High,100,0.62,3.25,< 1%
20 carat ring,USD,720,22%,-18%,High,100,1.12,3.39,< 1%
engraved promise rings for him,USD,720,-63%,23%,High,95,1.29,3.09,< 1%
native american wedding bands,USD,720,-18%,-33%,High,100,0.38,2.22,< 1%
925 sterling silver wedding ring sets,USD,720,-33%,-18%,High,100,0.20,2.13,2%
3 carat diamond ring natural,USD,720,0%,238%,High,100,1.50,3.96,9%
tungsten wedding sets,USD,720,-19%,-45%,High,100,0.82,2.36,5%
expensive mens wedding rings,USD,720,-18%,-33%,High,100,1.09,2.60,< 1%
best jewelery stores,USD,720,0%,0%,High,100,1.16,5.16,3%
mens platinum and diamond wedding bands,USD,720,30%,120%,Medium,64,1.57,5.28,24%
chunky wedding rings,USD,720,0%,22%,High,100,0.92,3.48,1%
oval engagement ring and wedding band set,USD,720,0%,-18%,High,100,2.11,7.00,< 1%
14 karat gold wedding ring set,USD,720,0%,0%,High,100,0.72,3.05,72%
black silver mens wedding band,USD,720,22%,0%,High,100,1.10,2.90,< 1%
14k gold wedding band set,USD,720,0%,0%,High,100,0.72,3.05,72%
tungsten wedding ring sets,USD,720,-19%,-45%,High,100,0.82,2.36,5%
sterling silver ring band,USD,720,-18%,-33%,High,100,0.32,1.60,< 1%
1920s wedding ring,USD,720,-18%,0%,High,100,0.61,2.62,< 1%
1950 vintage wedding ring sets,USD,720,-18%,22%,High,100,0.31,1.68,11%
simple wedding band sets,USD,720,0%,0%,High,100,0.81,2.98,5%
western wedding sets,USD,720,-18%,-18%,High,96,0.50,2.09,1%
mens wedding rings 18k gold,USD,720,-12%,22%,High,100,1.31,4.00,6%
tungsten ring sets,USD,720,-19%,-45%,High,100,0.82,2.36,5%
mens wedding rings black and silver,USD,720,22%,0%,High,100,1.10,2.90,< 1%
totaram jewelers online,USD,720,-63%,-33%,High,100,0.05,0.59,
3 carat ring price,USD,720,0%,49%,High,100,0.90,2.65,3%
twilight wedding ring,USD,720,-41%,0%,High,100,,,
custom wedding band sets,USD,720,23%,23%,High,92,1.63,4.96,1%
simple bridal set rings,USD,720,0%,0%,High,100,0.81,2.98,5%
pearl jewellery near me,USD,720,22%,22%,High,100,0.76,3.24,< 1%
expensive wedding rings for him,USD,720,-18%,-33%,High,100,1.09,2.60,< 1%
mens diamond wedding rings yellow gold,USD,720,0%,22%,High,93,1.19,4.50,50%
men and women matching wedding rings,USD,720,0%,-18%,High,100,0.82,3.14,24%
mens ring black stone,USD,720,-18%,0%,High,100,0.62,2.49,2%
princess beatrice engagement ring,USD,720,85%,85%,Low,26,,,
purchase jewellery online,USD,720,-83%,0%,High,98,2.47,21.08,2%
women's online jewelry,USD,720,-18%,127%,High,80,1.39,4.65,2%
stassi schroeder engagement ring,USD,720,-33%,-33%,High,92,,,
black and silver mens rings,USD,720,22%,22%,High,94,0.63,2.35,< 1%
expensive wedding bands for him,USD,720,-18%,-33%,High,100,1.09,2.60,< 1%
best affordable jewlery,USD,720,0%,0%,High,100,0.58,2.43,< 1%
14k gold bridal set,USD,720,0%,0%,High,100,0.72,3.05,72%
turquoise wedding band set,USD,720,-18%,50%,High,100,0.59,2.25,< 1%
three stone bridal ring sets,USD,720,-18%,-18%,High,100,1.35,3.90,20%
western wedding band sets,USD,720,-18%,-18%,High,96,0.50,2.09,1%
womens and mens matching wedding bands,USD,720,0%,-18%,High,100,0.82,3.14,24%
bella swan wedding ring,USD,720,-32%,22%,High,94,,,< 1%
three stone wedding ring set,USD,720,-18%,-18%,High,100,1.35,3.90,20%
black silver mens ring,USD,720,22%,22%,High,94,0.63,2.35,< 1%
dj band,USD,720,14%,108%,Low,4,2.21,8.00,
crystal jewellery online,USD,720,-88%,200%,High,87,0.61,7.08,
3 carat round cut diamond,USD,720,0%,22%,High,100,1.51,4.23,2%
14k gold wedding set,USD,720,0%,0%,High,100,0.72,3.05,72%
wedding engagement,USD,720,-19%,-63%,Medium,63,1.41,6.10,1%
custom jewelry sites,USD,720,-19%,-46%,High,100,1.21,3.95,
trendy jewlery brands,USD,720,0%,0%,High,100,0.81,3.45,< 1%
western bridal sets,USD,720,-18%,-18%,High,96,0.50,2.09,1%
925 sterling silver bridal sets,USD,720,-33%,-18%,High,100,0.20,2.13,2%
titanium black ring for men,USD,720,-18%,0%,High,100,1.07,3.15,< 1%
priscilla presley engagement ring,USD,720,-33%,-89%,Medium,42,,,
14kt gold wedding ring sets,USD,720,0%,0%,High,100,0.72,3.05,72%
amal clooney wedding ring,USD,720,-46%,-18%,Medium,46,,,< 1%
mens platinum diamond wedding rings,USD,720,30%,120%,Medium,64,1.57,5.28,24%
3 ct ring price,USD,720,0%,49%,High,100,0.90,2.65,3%
mens and ladies matching wedding bands,USD,720,0%,-18%,High,100,0.82,3.14,24%
big diamond rings for men,USD,720,0%,22%,High,100,0.98,4.57,84%
3 4 kt diamond ring,USD,720,0%,0%,High,100,1.10,4.16,10%
unusual bridal sets,USD,720,-33%,-18%,High,100,0.95,3.00,16%
14k gold bridal rings set,USD,720,0%,0%,High,100,0.72,3.05,72%
14kt gold wedding band sets,USD,720,0%,0%,High,100,0.72,3.05,72%
3 wedding band sets,USD,720,0%,-18%,High,100,1.09,3.91,26%
bridgerton engagement ring,USD,720,0%,88%,High,100,1.50,4.65,< 1%
gold jewellery 1 gram,USD,720,0%,0%,High,100,0.16,0.84,
gold jewellery in one gram,USD,720,0%,0%,High,100,0.16,0.84,
j lo engagement,USD,720,-35%,-65%,Low,0,,,
j lo ring,USD,720,-80%,-56%,Medium,58,,,
ladies jewellery online,USD,720,-18%,127%,High,80,1.39,4.65,2%
men wedding ring hand,USD,720,0%,0%,High,90,0.18,3.25,< 1%
tanisq diamond rings,USD,720,-33%,23%,High,100,0.06,2.50,2%
three carat ring cost,USD,720,0%,49%,High,100,0.90,2.65,3%
turquoise and diamond wedding ring sets,USD,720,-18%,50%,High,100,0.59,2.25,< 1%
zawe ashton engagement ring,USD,720,-96%,-44%,Medium,60,,,
lab created diamond stud earrings,USD,590,0%,0%,High,100,2.07,10.48,32%
engagement ring designer online,USD,590,-18%,247%,High,100,1.75,5.07,< 1%
diamond earrings black friday,USD,590,-59%,600%,Low,6,,,
online engagement ring stores,USD,590,0%,129%,Medium,60,3.60,24.71,2%
oval lab grown diamond,USD,590,0%,50%,High,100,2.49,9.10,6%
platinum diamond earrings,USD,590,22%,22%,High,89,1.35,6.77,3%
custom wedding bands for him,USD,590,-34%,-46%,High,96,1.58,4.40,3%
1 ctw diamond stud earrings,USD,590,-19%,-19%,High,100,2.07,9.80,19%
lab created diamonds near me,USD,590,0%,-19%,High,84,2.27,10.88,< 1%
sapphire diamond engagement ring,USD,590,-33%,0%,High,100,1.74,6.91,2%
mens lab diamond rings,USD,590,-18%,0%,High,100,2.11,4.69,100%
emerald solitaire engagement ring,USD,590,-18%,0%,High,100,2.32,8.98,< 1%
nice engagement rings,USD,590,0%,23%,High,100,1.95,4.51,7%
buy gold jewellery online,USD,590,0%,0%,High,100,1.52,8.00,1%
sapphire diamond earrings,USD,590,23%,0%,High,100,1.21,4.59,14%
ethical wedding rings,USD,590,22%,22%,High,100,1.72,4.65,< 1%
unusual wedding rings,USD,590,0%,-18%,High,100,0.83,2.69,3%
yellow gold solitaire engagement ring,USD,590,0%,0%,High,100,2.00,7.00,2%
knife edge wedding band,USD,590,0%,0%,High,100,2.18,5.71,1%
radiant diamond engagement ring,USD,590,-18%,51%,High,100,2.54,7.35,1%
silver wedding rings for women,USD,590,-18%,0%,High,100,0.61,2.68,4%
best diamond store,USD,590,-33%,-52%,High,87,3.12,13.67,1%
guitar string wedding band,USD,590,-19%,-19%,High,100,1.08,4.21,
black sapphire engagement ring,USD,590,-33%,-19%,High,100,1.05,2.78,5%
single diamond earring,USD,590,-19%,0%,High,100,0.99,4.00,18%
emerald halo engagement ring,USD,590,0%,22%,High,100,2.00,6.00,3%
temporary engagement ring,USD,590,22%,50%,High,100,0.45,5.77,< 1%
qudo rings,USD,590,-19%,-34%,High,100,0.31,1.57,
oval diamond band,USD,590,0%,-19%,High,100,1.77,6.13,2%
diamond alternative engagement rings,USD,590,0%,23%,High,100,0.99,3.50,< 1%
cushion diamond engagement ring,USD,590,-18%,0%,High,100,2.00,6.98,2%
ruby solitaire ring,USD,590,-33%,-19%,High,100,1.14,4.65,< 1%
diamond ring cost,USD,590,-18%,0%,High,100,1.25,3.12,1%
loose diamond prices,USD,590,-56%,-19%,Medium,48,1.10,3.32,
natural emerald engagement rings,USD,590,-19%,-19%,High,100,1.73,5.77,3%
diamond climber earrings,USD,590,-34%,-34%,High,100,0.90,4.50,9%
top engagement rings,USD,590,-19%,-33%,High,100,1.92,7.03,2%
bridal set engagement rings,USD,590,23%,0%,High,100,1.38,8.02,31%
unconventional engagement rings,USD,590,0%,22%,High,100,0.97,3.25,1%
emerald moissanite ring,USD,590,0%,0%,High,100,0.98,3.24,< 1%
rose gold wedding rings for women,USD,590,23%,0%,High,100,0.93,3.54,7%
custom wedding rings for him,USD,590,-34%,-46%,High,96,1.58,4.40,3%
fishing line wedding band,USD,590,0%,-33%,High,100,1.18,4.45,
reputable jewelers,USD,590,0%,85%,High,100,1.36,6.00,1%
engagement rings without diamonds,USD,590,0%,-63%,High,100,1.08,3.29,6%
ring bands for her,USD,590,-46%,-56%,High,99,0.98,2.99,1%
opal and diamond earrings,USD,590,0%,-19%,High,100,0.66,3.37,< 1%
thorum rings review,USD,590,49%,49%,High,100,3.02,14.14,
platinum band for men,USD,590,-33%,50%,High,100,1.28,4.39,3%
wedding band hire,USD,590,-18%,177%,Low,13,1.59,6.20,
1 carat oval engagement ring,USD,590,0%,22%,High,100,2.00,6.10,3%
sapphire halo ring,USD,590,0%,0%,High,100,1.80,6.41,1%
radiant cut wedding band,USD,590,0%,22%,High,100,2.11,6.71,1%
6 prong round engagement ring,USD,590,-19%,-19%,High,100,2.00,6.21,< 1%
silver diamond hoop earrings,USD,590,-34%,-19%,High,100,0.62,2.40,4%
2000 engagement ring,USD,590,-18%,0%,High,100,1.25,4.43,7%
channel set diamond ring,USD,590,-33%,0%,High,100,1.75,5.37,17%
oval sapphire engagement rings,USD,590,-33%,-33%,High,100,1.77,4.84,< 1%
best silicone wedding bands for men,USD,590,0%,-19%,High,100,1.04,3.12,
best gold jewelry brands,USD,590,0%,-19%,High,100,1.11,3.36,1%
2mm gold band,USD,590,-18%,0%,High,100,0.99,3.25,< 1%
diamond infinity band,USD,590,-18%,0%,High,100,1.67,6.00,17%
yellow gold diamond engagement rings,USD,590,-18%,50%,High,80,1.75,7.18,7%
popular wedding rings,USD,590,-19%,-33%,High,100,0.80,3.04,5%
18k diamond ring,USD,590,69%,39%,High,100,1.55,4.19,6%
14k engagement ring,USD,590,22%,0%,High,100,1.83,5.25,13%
mejuri wedding band,USD,590,23%,23%,High,100,0.15,3.26,< 1%
real wedding rings,USD,590,-18%,0%,High,100,0.93,3.09,12%
$1000 engagement ring,USD,590,22%,22%,High,100,1.58,5.68,19%
french pave,USD,590,-18%,-18%,High,100,2.65,15.21,1%
replica engagement rings,USD,590,22%,22%,High,97,0.47,2.66,2%
hidden halo diamond ring,USD,590,-18%,84%,High,100,2.65,7.45,< 1%
4mm wedding band,USD,590,0%,-18%,High,100,1.39,4.65,3%
large diamond stud earrings,USD,590,-18%,-18%,High,100,1.48,6.58,8%
wedding ring and band set,USD,590,-18%,-18%,High,100,0.98,4.18,18%
0.1 carat diamond price,USD,590,-19%,-46%,Medium,57,1.05,3.58,< 1%
obsidian engagement ring,USD,590,0%,23%,High,100,1.11,3.89,2%
emerald halo ring,USD,590,0%,0%,High,100,2.00,6.78,5%
asymmetrical engagement ring,USD,590,-18%,-18%,High,100,1.67,4.07,1%
custom made wedding bands,USD,590,0%,22%,High,94,2.34,6.27,< 1%
2 carat moissanite,USD,590,-19%,-34%,High,100,1.01,3.20,4%
western style engagement rings,USD,590,-33%,0%,High,100,0.91,3.52,2%
2 diamond engagement ring,USD,590,-18%,23%,High,100,1.85,5.21,43%
nice wedding rings,USD,590,0%,0%,High,100,1.16,3.90,8%
best gold jewelry online,USD,590,-46%,-19%,High,100,1.46,5.76,4%
non conductive wedding rings,USD,590,23%,-52%,High,100,0.62,2.61,
oval solitaire,USD,590,23%,23%,High,100,2.00,5.38,1%
15000 engagement ring,USD,590,-19%,-33%,High,100,1.57,4.01,< 1%
lab grown moissanite,USD,590,171%,233%,High,88,1.13,3.87,< 1%
yellow gold diamond band,USD,590,0%,-19%,High,100,1.57,4.22,19%
large diamond earrings,USD,590,-18%,23%,High,100,1.16,4.24,4%
multi row diamond ring,USD,590,-41%,0%,High,100,1.40,5.05,49%
radiant cut moissanite,USD,590,-34%,-34%,High,100,1.48,5.09,< 1%
2.5 carat radiant cut diamond ring,USD,590,-33%,0%,High,100,2.00,6.27,< 1%
duck band wedding ring,USD,590,-45%,-19%,High,100,0.83,2.52,
14k gold diamond hoop earrings,USD,590,-33%,0%,High,100,0.60,3.81,18%
high set engagement ring,USD,590,0%,0%,High,100,1.59,5.07,< 1%
moss agate engagement ring set,USD,590,-19%,-46%,High,100,1.52,6.15,1%
princess cut diamond wedding band,USD,590,-18%,0%,High,100,1.39,4.27,41%
diamond crawler earrings,USD,590,0%,23%,High,100,0.61,4.27,7%
unique wedding bands for couples,USD,590,-18%,0%,High,100,0.70,3.29,5%
halo princess cut ring,USD,590,0%,-18%,High,100,1.53,4.31,4%
square diamond stud earrings,USD,590,-34%,-19%,High,100,1.12,4.50,6%
mens 6mm gold wedding band,USD,590,-33%,51%,High,100,1.58,4.93,15%
rose gold tungsten ring,USD,590,-18%,-18%,High,100,0.82,3.15,2%
simon g engagement rings,USD,590,-33%,23%,High,99,0.38,4.38,1%
double halo ring,USD,590,0%,23%,High,100,1.86,4.99,2%
sona simulated diamonds,USD,590,-18%,-18%,High,100,0.33,4.34,3%
camo silicone ring,USD,590,-19%,-19%,High,100,0.43,2.23,
2 carat cushion cut diamond,USD,590,-19%,-33%,High,100,2.00,5.59,1%
indian jewelry online usa,USD,590,-19%,23%,High,100,0.54,1.94,< 1%
asscher diamond ring,USD,590,0%,51%,High,100,1.62,6.20,3%
18k gold wedding band womens,USD,590,-33%,51%,High,100,1.33,3.90,3%
aquamarine diamond,USD,590,22%,0%,High,100,1.21,4.35,2%
mosaic engagement ring,USD,590,-19%,0%,High,100,1.91,4.80,< 1%
perfect engagement ring,USD,590,22%,-46%,High,89,1.78,5.32,6%
vs1 diamond price,USD,590,-61%,0%,High,71,1.01,2.58,< 1%
plain gold wedding band womens,USD,590,0%,50%,High,100,0.74,3.08,3%
victorian style engagement rings,USD,590,0%,85%,High,100,0.98,3.31,2%
aquamarine wedding set,USD,590,0%,-18%,High,100,0.84,3.01,2%
cushion cut solitaire engagement rings,USD,590,0%,-18%,High,100,2.07,7.00,< 1%
gabriel and co engagement rings,USD,590,0%,23%,High,100,1.17,4.15,< 1%
marquise band,USD,590,-33%,23%,High,100,1.95,5.82,6%
18k gold diamond ring,USD,590,22%,22%,High,100,1.50,4.49,3%
princess cut emerald ring,USD,590,-19%,-19%,High,100,1.39,5.63,1%
blue sandstone engagement ring,USD,590,-56%,-34%,High,100,1.50,6.29,
luxury mens wedding bands,USD,590,23%,0%,High,100,1.23,4.74,2%
work wedding bands,USD,590,0%,-18%,High,100,0.74,2.65,< 1%
2 carat round diamond,USD,590,-18%,-18%,High,100,1.86,4.90,1%
1 carat princess cut diamond,USD,590,0%,0%,High,95,1.40,3.27,4%
black and rose gold wedding band,USD,590,-18%,-33%,High,100,0.98,3.28,5%
black and silver wedding band,USD,590,0%,-18%,High,100,0.81,3.17,1%
hawaiian engagement ring,USD,590,0%,23%,High,100,0.78,4.83,2%
black rutilated quartz engagement ring,USD,590,-33%,-33%,High,100,1.35,7.13,
mens silver band ring,USD,590,0%,22%,High,100,0.78,2.60,< 1%
natural yellow diamond,USD,590,-18%,23%,High,100,1.15,5.69,6%
3carat diamond,USD,590,0%,-19%,High,100,1.40,3.70,3%
round cut diamond engagement rings,USD,590,0%,213%,High,96,1.77,6.52,3%
ethical wedding bands,USD,590,22%,22%,High,100,1.72,4.65,< 1%
white gold black diamond ring,USD,590,23%,23%,High,100,0.97,5.41,22%
24k diamond ring,USD,590,0%,23%,High,100,1.18,2.93,1%
princess cut with halo,USD,590,-19%,-33%,High,100,1.62,5.25,< 1%
sunflower wedding ring,USD,590,0%,-33%,High,100,1.05,3.01,< 1%
vintage diamond wedding band,USD,590,0%,0%,High,100,0.66,2.86,8%
mens baguette wedding band,USD,590,-18%,-18%,High,100,1.31,3.79,11%
rose gold wedding band set,USD,590,-19%,-33%,High,100,1.02,3.44,9%
pepper diamond,USD,590,0%,0%,High,100,1.53,4.86,< 1%
different wedding rings,USD,590,-19%,-33%,High,100,0.94,3.03,< 1%
4 carat pear shaped diamond ring,USD,590,-18%,51%,High,100,1.71,4.43,3%
western style wedding rings,USD,590,-19%,23%,High,100,0.55,2.51,4%
blue topaz wedding ring,USD,590,-19%,-45%,High,100,1.02,3.82,2%
red diamond earrings,USD,590,50%,50%,High,100,0.90,3.02,4%
wedding necklace and earring set,USD,590,0%,0%,High,100,0.37,2.42,2%
unusual wedding bands,USD,590,0%,-18%,High,100,0.83,2.69,3%
18k white gold mens wedding band,USD,590,-18%,85%,High,100,1.26,4.12,12%
yellow gold wedding sets,USD,590,-33%,-33%,High,100,0.95,3.78,37%
1 carat oval diamond,USD,590,-18%,0%,High,100,1.85,6.17,1%
cobalt mens wedding bands,USD,590,108%,108%,Medium,41,1.21,3.57,< 1%
most expensive engagement ring in the world,USD,590,-46%,-19%,High,98,0.95,2.75,
blue tungsten rings,USD,590,0%,-19%,High,100,1.16,3.41,< 1%
emerald engagement ring with wedding band,USD,590,0%,23%,High,100,1.65,4.74,1%
2.7 carat diamond ring,USD,590,0%,0%,High,100,1.60,5.75,2%
aquamarine wedding ring set,USD,590,0%,-18%,High,100,0.84,3.01,2%
gym wedding rings,USD,590,0%,23%,High,100,0.62,2.61,
wood inlay mens wedding band,USD,590,-18%,-18%,High,100,1.36,4.33,
5 carat wedding ring,USD,590,0%,22%,High,100,1.35,3.52,30%
platinum and gold wedding band,USD,590,22%,50%,High,100,1.88,5.18,26%
black and blue wedding band,USD,590,-19%,-19%,High,100,0.90,2.42,< 1%
round diamond settings,USD,590,-33%,-19%,High,100,1.31,3.98,< 1%
pearl and diamond wedding band,USD,590,-18%,0%,High,100,1.25,3.60,1%
2 carat emerald,USD,590,0%,0%,High,100,1.12,3.70,1%
emerald engagement rings for women,USD,590,0%,50%,High,100,1.88,6.67,< 1%
rectangle cut engagement rings,USD,590,0%,51%,High,100,2.00,5.29,1%
plain wedding band womens,USD,590,22%,83%,High,100,0.69,3.06,2%
heart shaped wedding ring set,USD,590,0%,50%,High,100,0.81,2.96,< 1%
alexandrite and diamond ring,USD,590,-18%,0%,High,100,1.16,4.20,4%
thick engagement ring,USD,590,-18%,0%,High,100,1.56,6.10,2%
tungsten rings with diamonds,USD,590,23%,-18%,High,100,0.86,2.74,6%
personalized mens wedding bands,USD,590,-18%,0%,High,100,1.86,5.38,7%
horizontal baguette wedding band,USD,590,0%,0%,High,100,1.68,4.64,3%
blue topaz wedding band,USD,590,-19%,-45%,High,100,1.02,3.82,2%
square diamond wedding band,USD,590,0%,23%,High,100,1.25,3.46,9%
gold cushion cut engagement rings,USD,590,-18%,22%,High,100,1.89,4.52,1%
1.5 carat,USD,590,0%,23%,High,100,2.02,6.01,1%
big diamond stud earrings,USD,590,-18%,-18%,High,100,1.48,6.58,8%
cushion cut emerald ring,USD,590,-18%,23%,High,100,1.48,4.74,< 1%
1 ct ring,USD,590,-33%,-19%,High,100,1.61,4.77,8%
3 band wedding ring,USD,590,0%,0%,High,100,1.01,3.09,6%
blue sapphire mens wedding band,USD,590,23%,0%,High,100,1.62,4.35,8%
celestial engagement ring,USD,590,-33%,0%,High,100,1.13,3.65,
black stone wedding ring,USD,590,-19%,0%,High,100,0.88,3.50,6%
onyx mens wedding band,USD,590,0%,0%,High,100,1.21,4.18,1%
black and red engagement rings,USD,590,-19%,-19%,High,100,1.34,3.29,1%
country wedding rings,USD,590,-34%,-46%,High,95,0.85,3.33,1%
mens wedding band sale,USD,590,0%,23%,High,100,0.74,3.91,20%
asscher cut diamond engagement rings,USD,590,-55%,84%,High,99,2.00,6.59,< 1%
fishing wedding ring,USD,590,0%,0%,High,100,0.87,3.01,< 1%
thin gold ring band,USD,590,-19%,-33%,High,100,0.46,2.14,< 1%
king will tungsten carbide ring,USD,590,0%,22%,High,100,0.15,1.35,< 1%
art deco style rings,USD,590,-18%,23%,High,100,0.64,2.97,< 1%
micro pave,USD,590,0%,0%,High,100,1.77,7.58,< 1%
blue sapphire wedding set,USD,590,23%,23%,High,100,1.09,3.48,8%
camo rings,USD,590,0%,0%,High,100,0.58,1.97,
vintage princess cut engagement rings,USD,590,22%,22%,High,93,1.25,3.60,2%
trapezoid diamond,USD,590,0%,22%,High,100,1.75,7.00,< 1%
two tone diamond ring,USD,590,-18%,-33%,High,100,1.56,4.07,5%
trending wedding rings,USD,590,-19%,0%,High,100,0.92,3.20,1%
camilla engagement ring,USD,590,-33%,-33%,High,93,1.00,5.41,
purple mens wedding band,USD,590,-19%,-33%,High,100,1.02,3.50,< 1%
mixed metal wedding set,USD,590,-18%,0%,High,100,1.26,3.76,< 1%
selling your jewelry online,USD,590,24%,0%,Medium,40,3.88,13.43,
3 band ring,USD,590,-19%,-19%,High,100,0.85,3.50,4%
1 carat marquise diamond,USD,590,-18%,23%,High,100,1.37,4.54,1%
mens wedding ring sale,USD,590,0%,23%,High,100,0.74,3.91,20%
nordic wedding rings,USD,590,-19%,-19%,High,100,0.90,2.98,
vintage platinum wedding bands,USD,590,22%,85%,High,100,0.83,3.90,< 1%
blue sapphire bridal ring set,USD,590,23%,23%,High,100,1.09,3.48,8%
vintage morganite ring,USD,590,-19%,-19%,High,100,0.29,1.99,4%
14k diamond,USD,590,49%,83%,High,84,1.76,4.64,2%
popular wedding bands,USD,590,-19%,-33%,High,100,0.80,3.04,5%
blue sapphire bridal set,USD,590,23%,23%,High,100,1.09,3.48,8%
wide band wedding ring,USD,590,-18%,-18%,High,100,1.16,3.25,7%
ct tw,USD,590,-19%,-34%,Medium,51,1.64,7.00,2%
